source_name,source_id,title,description,url,publishedAt,content,category
CNN,cnn,US senators want regulators to look at Robinhood's botched bank account rollout - CNN,US senators are calling for regulators to inspect whether Robinhood misled customers in launching its new investment accounts.,https://www.cnn.com/2018/12/20/tech/robinhood-bank-account-senate-letter/index.html,2018-12-21T03:34:00Z,,business
Deadline.com,,"‘Aquaman’ Surfing To $8M-$10M Tonight, ‘Bumblebee’ Buzzing $2M+: Early Read Thursday Preview B.O. - Deadline","EXCLUSIVE, Thursday 7:48PM: At this point in time, we’re hearing that Warner Bros./DC’s Aquaman is hooking a Thursday night between $8M-$10M. Meanwhile, Paramount’s Bumblebee is d…",https://deadline.com/2018/12/aquaman-bumblebee-christmas-thursday-night-previews-weekend-box-office-1202524462/,2018-12-21T03:56:00Z,"EXCLUSIVE, Thursday 7:48PM: At this point in time, we’re hearing that Warner Bros./DC’s Aquaman is hooking a Thursday night between $8M-$10M. Meanwhile, Paramount’s Bumblebee is driving to an evening total between $2M-$2.5M. Both pics started showtimes at 5PM… [+3021 chars]",entertainment
CNN,cnn,"Shaken, saddened, scared: Washington erupts over Mattis resignation - CNN","Shaken, disappointed, saddened and scared -- those were just some of the reactions in a bipartisan outpouring of shock and concern as lawmakers reacted Thursday to the news that Defense Secretary James Mattis had resigned over President Donald Trump's policy …",https://www.cnn.com/2018/12/20/politics/james-mattis-defense-secretary-resignation-reaction/index.html,2018-12-21T03:33:00Z,"Washington (CNN) Shaken, disappointed, saddened and scared -- those were just some of the reactions in a bipartisan outpouring of shock and concern as lawmakers reacted Thursday to the news that Defense Secretary James Mattis had resigned over President Donal… [+7433 chars]",general
Kfvs12.com,,Blood pressure medication recalled due to 'unexpected impurity' - KFVS,"According to the FDA (United States Food and Drug Administration), Torrent Pharmaceuticals Limited is voluntarily recalling two lots of Losartan potassium tablets,",http://www.kfvs12.com/2018/12/21/blood-pressure-medication-recalled-due-unexpected-impurity/,2018-12-21T02:32:57Z,(WBTV) - A pharmaceutical company has issued a voluntary recall of blood pressure medication Thursday. Medical officials say the medication is being recalled due to the detection of trace amounts of an unexpected impurity found in an active pharmaceutical ing… [+1396 chars],health
Kstp.com,,American Meteor Society: 14 reports of a meteor in Minnesota Thursday morning - KSTP,Video of a mystery flash over the Twin Cities metro area early Thursday morning has been lighting up social media. And experts with the American Meteor Society now confirm the flash that some Minnesotans saw was a meteor ...,https://kstp.com/news/meteor-minnesota-thursday-morning-flash/5186969/,2018-12-21T02:17:04Z,"It happened just after 2 a.m. ""The sky gets a little brighter, then all of a sudden there's a flash and it's gone,"" said Jeff Baker, who lives in Oak Grove. RELATED: Was there a meteor sighting in the Twin Cities metro overnight? Baker said he installed a new… [+1639 chars]",science
Youtube.com,,"The Leafs were all laughs after Matthews, Marner entertaining Nutcracker performance - TSN",,https://www.youtube.com/watch?v=AVWmsx7nsFI,2018-12-21T03:28:39Z,[[getSimpleString(data.title)]] [[getSimpleString(data.text)]],sports
Cnet.com,,"Fortnite season 7, week 3 challenges and how to get through them fast - CNET",This week Epic Games brought back an old favorite challenge with a search between three things.,https://www.cnet.com/news/fortnite-season-7-week-3-challenges-and-how-to-complete-them/,2018-12-21T02:47:00Z,"Epic Games At the beginning of the week in Fortnite: Battle Royale, Epic unveiled the 14 days of Fortnite, adding daily challenges for the next couple weeks. But don't worry; there's still a list of new weekly challenges to complete if you want to power throu… [+3320 chars]",technology
