source_name,source_id,title,description,url,publishedAt,content,category
CNN,cnn,Stocks on track for worst December since the Great Depression - CNN,Few people on Wall Street remember the last time the stock market had this tough of a December. That's because the Dow and S&P 500 are currently on track for their biggest December loss since the Great Depression.,https://www.cnn.com/2018/12/18/investing/stocks-worst-december-since-great-depression/index.html,2018-12-18T15:32:00Z,,business
Aol.com,,Miley Cyrus praises Liam Hemsworth's penis in relationship checklist - AOL,Miley Cyrus gave fiance Liam Hemsworth a below-the-belt compliment on a meme posted Sunday -- and it was kind of sweet.,https://www.aol.com/article/entertainment/2018/12/18/miley-cyrus-praises-liam-hemsworths-penis-in-relationship-checklist/23621531/,2018-12-18T15:45:00Z,"Singer Miley Cyrus gave fiance Liam Hemsworth (Independence Day: Resurgence) a below-the-belt compliment on a meme posted Sunday and it was kind of sweet, given the context. The former Hannah Montana star was responding to a graphic on SourPsycho that served … [+6451 chars]",entertainment
Aol.com,,Miley Cyrus praises Liam Hemsworth's penis in relationship checklist - AOL,Miley Cyrus gave fiance Liam Hemsworth a below-the-belt compliment on a meme posted Sunday -- and it was kind of sweet.,https://www.aol.com/article/entertainment/2018/12/18/miley-cyrus-praises-liam-hemsworths-penis-in-relationship-checklist/23621531/,2018-12-18T15:45:00Z,"Singer Miley Cyrus gave fiance Liam Hemsworth (Independence Day: Resurgence) a below-the-belt compliment on a meme posted Sunday and it was kind of sweet, given the context. The former Hannah Montana star was responding to a graphic on SourPsycho that served … [+6451 chars]",general
Wdsu.com,,Louisiana health officials declare outbreak of hepatitis A across state - WDSU New Orleans,The Louisiana Department of Health issued the advisory Tuesday to raise the public's awareness about the disease.,https://www.wdsu.com/article/louisiana-health-officials-declare-outbreak-of-hepatitis-a-across-state/25605479,2018-12-18T15:53:00Z,"NEW ORLEANS — At least 24 cases of hepatitis A have been reported in the state, prompting Louisiana health officials to declare an outbreak. The Louisiana Department of Health issued the advisory Tuesday to raise the public's awareness about the disease. Offi… [+2153 chars]",health
Hackaday.com,,GPS III Launching Today But You Can't Use it Until 2022 - Hackaday,Imagine if you bought a new car but they keys were not going to be shipped to you until a few years later. That’s analogous to the situation the U.S. Air Force finds itself in. The first GPS …,https://hackaday.com/2018/12/18/gps-iii-launching-today-but-you-cant-use-it-until-2022/,2018-12-18T15:01:00Z,"Imagine if you bought a new car but they keys were not going to be shipped to you until a few years later. That’s analogous to the situation the U.S. Air Force finds itself in. The first GPS III satellite is finally ready to launch today, December 18, 2018 — … [+3944 chars]",science
Si.com,,Panthers' Eric Reid Gets Sixth Random Drug Test in 11 Weeks: 'That Has to Be Statistically Impossible' - Sports Illustrated,Panthers safety Eric Reid is not buying that the NFL's drug testing is random when it comes to him.,https://www.si.com/nfl/2018/12/18/eric-reid-seventh-drug-test-sixth-random-panthers,2018-12-18T15:45:00Z,"Once again, Panthers safety Eric Reid was given a random drug test. Following Carolina's 12-9 loss to the Saints on Monday, Reid posted a photo on Twitter featuring the NFL's notice taped to his locker explaining what he needed to do for the random procedure.… [+1266 chars]",sports
Thurrott.com,,Qualcomm Calls on China to Enforce iPhone Sales Ban Immediately - Thurrott.com,Remember those reports that the China sales ban on iPhones applied only to older models running iOS 11? That's not true.,https://www.thurrott.com/apple/195484/qualcomm-calls-on-china-to-enforce-iphone-sales-ban-immediately,2018-12-18T15:08:47Z,"Qualcomm this week complained that Apple’s attempts to stall the iPhone sales ban in China should be ignored. And it wants China to enforce the ban immediately, pointing out, too, that it should apply to the firm’s newest models. “Despite Apples efforts to do… [+1265 chars]",technology
